cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.2096031746031746,0.046099239442222606,30
10-month-olds,Agent-Object Binding,0.360026455026455,0.053662976414944046,30
10-month-olds,Motion Tracking,0.22359788359788363,0.05655936169422081,30
11-month-olds,Agent-Agent Attention,0.18223443223443228,0.052716082568822806,13
11-month-olds,Agent-Object Binding,0.42701465201465194,0.07936195635820376,13
11-month-olds,Motion Tracking,0.13534798534798534,0.04783668683165594,13
7-month-olds,Agent-Agent Attention,0.08166666666666667,0.045164309081561466,10
7-month-olds,Agent-Object Binding,0.28500000000000003,0.07850650676815439,10
7-month-olds,Motion Tracking,0.4833333333333334,0.11706281947614154,10
8-month-olds,Agent-Agent Attention,0.03076923076923077,0.02083086770419477,13
8-month-olds,Agent-Object Binding,0.23333333333333334,0.10418589566107715,13
8-month-olds,Motion Tracking,0.6102564102564103,0.12002994731875083,13
9-month-olds,Agent-Agent Attention,0.11851851851851852,0.044216919429677155,18
9-month-olds,Agent-Object Binding,0.5796296296296296,0.07811034821859383,18
9-month-olds,Motion Tracking,0.14074074074074072,0.06504317071239775,18
Adults,Agent-Agent Attention,0.2718253968253968,0.04727233714390787,39
Adults,Agent-Object Binding,0.38803418803418804,0.04823071959557555,39
Adults,Motion Tracking,0.2671855921855922,0.05843157652882533,39
