cohort,from_aoi,to_aoi,mean_count
7-month-olds,man_face,man_body,1.0
7-month-olds,man_face,woman_face,1.5
7-month-olds,man_face,woman_body,0.0
7-month-olds,man_face,toy_present,1.0
7-month-olds,man_face,toy_location,0.0
7-month-olds,man_body,man_face,1.0
7-month-olds,man_body,woman_face,0.0
7-month-olds,man_body,woman_body,0.0
7-month-olds,man_body,toy_present,1.2
7-month-olds,man_body,toy_location,0.0
7-month-olds,woman_face,man_face,1.3333333333333333
7-month-olds,woman_face,man_body,1.0
7-month-olds,woman_face,woman_body,0.0
7-month-olds,woman_face,toy_present,0.0
7-month-olds,woman_face,toy_location,0.0
7-month-olds,woman_body,man_face,1.0
7-month-olds,woman_body,man_body,0.0
7-month-olds,woman_body,woman_face,0.0
7-month-olds,woman_body,toy_present,2.0
7-month-olds,woman_body,toy_location,0.0
7-month-olds,toy_present,man_face,1.5
7-month-olds,toy_present,man_body,1.0
7-month-olds,toy_present,woman_face,1.0
7-month-olds,toy_present,woman_body,1.0
7-month-olds,toy_present,toy_location,0.0
7-month-olds,toy_location,man_face,0.0
7-month-olds,toy_location,man_body,0.0
7-month-olds,toy_location,woman_face,0.0
7-month-olds,toy_location,woman_body,0.0
7-month-olds,toy_location,toy_present,0.0
8-month-olds,man_face,man_body,1.0
8-month-olds,man_face,woman_face,0.0
8-month-olds,man_face,woman_body,0.0
8-month-olds,man_face,toy_present,1.5
8-month-olds,man_face,toy_location,0.0
8-month-olds,man_body,man_face,1.0
8-month-olds,man_body,woman_face,0.0
8-month-olds,man_body,woman_body,0.0
8-month-olds,man_body,toy_present,1.0
8-month-olds,man_body,toy_location,0.0
8-month-olds,woman_face,man_face,0.0
8-month-olds,woman_face,man_body,0.0
8-month-olds,woman_face,woman_body,0.0
8-month-olds,woman_face,toy_present,1.0
8-month-olds,woman_face,toy_location,0.0
8-month-olds,woman_body,man_face,0.0
8-month-olds,woman_body,man_body,1.0
8-month-olds,woman_body,woman_face,0.0
8-month-olds,woman_body,toy_present,1.0
8-month-olds,woman_body,toy_location,0.0
8-month-olds,toy_present,man_face,1.0
8-month-olds,toy_present,man_body,1.0
8-month-olds,toy_present,woman_face,1.0
8-month-olds,toy_present,woman_body,1.0
8-month-olds,toy_present,toy_location,0.0
8-month-olds,toy_location,man_face,0.0
8-month-olds,toy_location,man_body,0.0
8-month-olds,toy_location,woman_face,0.0
8-month-olds,toy_location,woman_body,0.0
8-month-olds,toy_location,toy_present,0.0
9-month-olds,man_face,man_body,0.0
9-month-olds,man_face,woman_face,1.0
9-month-olds,man_face,woman_body,0.0
9-month-olds,man_face,toy_present,1.2222222222222223
9-month-olds,man_face,toy_location,0.0
9-month-olds,man_body,man_face,1.0
9-month-olds,man_body,woman_face,1.0
9-month-olds,man_body,woman_body,1.0
9-month-olds,man_body,toy_present,1.0
9-month-olds,man_body,toy_location,0.0
9-month-olds,woman_face,man_face,1.3333333333333333
9-month-olds,woman_face,man_body,0.0
9-month-olds,woman_face,woman_body,0.0
9-month-olds,woman_face,toy_present,1.0
9-month-olds,woman_face,toy_location,0.0
9-month-olds,woman_body,man_face,0.0
9-month-olds,woman_body,man_body,0.0
9-month-olds,woman_body,woman_face,0.0
9-month-olds,woman_body,toy_present,1.0
9-month-olds,woman_body,toy_location,0.0
9-month-olds,toy_present,man_face,1.2222222222222223
9-month-olds,toy_present,man_body,1.0
9-month-olds,toy_present,woman_face,1.2
9-month-olds,toy_present,woman_body,0.0
9-month-olds,toy_present,toy_location,0.0
9-month-olds,toy_location,man_face,0.0
9-month-olds,toy_location,man_body,0.0
9-month-olds,toy_location,woman_face,0.0
9-month-olds,toy_location,woman_body,0.0
9-month-olds,toy_location,toy_present,0.0
10-month-olds,man_face,man_body,1.0
10-month-olds,man_face,woman_face,1.1538461538461537
10-month-olds,man_face,woman_body,1.0
10-month-olds,man_face,toy_present,1.0769230769230769
10-month-olds,man_face,toy_location,0.0
10-month-olds,man_body,man_face,1.2
10-month-olds,man_body,woman_face,0.0
10-month-olds,man_body,woman_body,1.0
10-month-olds,man_body,toy_present,1.0
10-month-olds,man_body,toy_location,0.0
10-month-olds,woman_face,man_face,1.1111111111111112
10-month-olds,woman_face,man_body,1.0
10-month-olds,woman_face,woman_body,0.0
10-month-olds,woman_face,toy_present,1.0
10-month-olds,woman_face,toy_location,0.0
10-month-olds,woman_body,man_face,1.0
10-month-olds,woman_body,man_body,1.0
10-month-olds,woman_body,woman_face,0.0
10-month-olds,woman_body,toy_present,1.1666666666666667
10-month-olds,woman_body,toy_location,0.0
10-month-olds,toy_present,man_face,1.0
10-month-olds,toy_present,man_body,1.0
10-month-olds,toy_present,woman_face,1.0
10-month-olds,toy_present,woman_body,1.3333333333333333
10-month-olds,toy_present,toy_location,0.0
10-month-olds,toy_location,man_face,0.0
10-month-olds,toy_location,man_body,0.0
10-month-olds,toy_location,woman_face,0.0
10-month-olds,toy_location,woman_body,0.0
10-month-olds,toy_location,toy_present,0.0
11-month-olds,man_face,man_body,1.0
11-month-olds,man_face,woman_face,1.1428571428571428
11-month-olds,man_face,woman_body,1.0
11-month-olds,man_face,toy_present,1.0
11-month-olds,man_face,toy_location,0.0
11-month-olds,man_body,man_face,1.1666666666666667
11-month-olds,man_body,woman_face,0.0
11-month-olds,man_body,woman_body,1.0
11-month-olds,man_body,toy_present,1.0
11-month-olds,man_body,toy_location,0.0
11-month-olds,woman_face,man_face,1.25
11-month-olds,woman_face,man_body,1.0
11-month-olds,woman_face,woman_body,0.0
11-month-olds,woman_face,toy_present,1.0
11-month-olds,woman_face,toy_location,0.0
11-month-olds,woman_body,man_face,0.0
11-month-olds,woman_body,man_body,0.0
11-month-olds,woman_body,woman_face,0.0
11-month-olds,woman_body,toy_present,1.0
11-month-olds,woman_body,toy_location,0.0
11-month-olds,toy_present,man_face,1.0
11-month-olds,toy_present,man_body,1.0
11-month-olds,toy_present,woman_face,1.0
11-month-olds,toy_present,woman_body,0.0
11-month-olds,toy_present,toy_location,0.0
11-month-olds,toy_location,man_face,0.0
11-month-olds,toy_location,man_body,0.0
11-month-olds,toy_location,woman_face,0.0
11-month-olds,toy_location,woman_body,0.0
11-month-olds,toy_location,toy_present,0.0
Adults,man_face,man_body,1.3333333333333333
Adults,man_face,woman_face,1.3333333333333333
Adults,man_face,woman_body,1.0
Adults,man_face,toy_present,1.2222222222222223
Adults,man_face,toy_location,0.0
Adults,man_body,man_face,1.0
Adults,man_body,woman_face,0.0
Adults,man_body,woman_body,0.0
Adults,man_body,toy_present,1.0769230769230769
Adults,man_body,toy_location,0.0
Adults,woman_face,man_face,1.3846153846153846
Adults,woman_face,man_body,0.0
Adults,woman_face,woman_body,1.0
Adults,woman_face,toy_present,1.0625
Adults,woman_face,toy_location,0.0
Adults,woman_body,man_face,1.0
Adults,woman_body,man_body,1.0
Adults,woman_body,woman_face,0.0
Adults,woman_body,toy_present,1.0
Adults,woman_body,toy_location,0.0
Adults,toy_present,man_face,1.1764705882352942
Adults,toy_present,man_body,1.0
Adults,toy_present,woman_face,1.0
Adults,toy_present,woman_body,1.0
Adults,toy_present,toy_location,0.0
Adults,toy_location,man_face,0.0
Adults,toy_location,man_body,0.0
Adults,toy_location,woman_face,0.0
Adults,toy_location,woman_body,0.0
Adults,toy_location,toy_present,0.0
