cohort,strategy,mean,sem,n_trials
10-month-olds,Social Verification,0.007575757575757575,0.007575757575757575,22
10-month-olds,Object-Face Linking,0.2630952380952381,0.0707801860832366,22
10-month-olds,Mechanical Tracking,0.5566017316017317,0.07516868104301282,22
11-month-olds,Social Verification,0.011764705882352941,0.011764705882352934,17
11-month-olds,Object-Face Linking,0.19313725490196076,0.04670645239276114,17
11-month-olds,Mechanical Tracking,0.592156862745098,0.07740054823680972,17
7-month-olds,Social Verification,0.0,0.0,6
7-month-olds,Object-Face Linking,0.23611111111111108,0.11866671868496571,6
7-month-olds,Mechanical Tracking,0.3333333333333333,0.16666666666666669,6
8-month-olds,Social Verification,0.0,0.0,9
8-month-olds,Object-Face Linking,0.20370370370370366,0.09431272586788593,9
8-month-olds,Mechanical Tracking,0.5833333333333334,0.12576923802968634,9
9-month-olds,Social Verification,0.0,0.0,16
9-month-olds,Object-Face Linking,0.0703125,0.04264795019986307,16
9-month-olds,Mechanical Tracking,0.7760416666666667,0.09088006888914804,16
Adults,Social Verification,0.07384259259259258,0.020364169029609573,36
Adults,Object-Face Linking,0.2913029100529101,0.05143435856526926,36
Adults,Mechanical Tracking,0.5313492063492063,0.058960162020362285,36
