cohort,failure_category,count,percentage
7-month-olds,Man_Toy,6,40.0
7-month-olds,Woman_Toy,4,26.666666666666668
7-month-olds,Woman_Man,0,0.0
7-month-olds,Toy_Only,3,20.0
7-month-olds,Man_Only,1,6.666666666666667
7-month-olds,Woman_Only,1,6.666666666666667
7-month-olds,Other,0,0.0
8-month-olds,Man_Toy,9,64.28571428571429
8-month-olds,Woman_Toy,1,7.142857142857142
8-month-olds,Woman_Man,1,7.142857142857142
8-month-olds,Toy_Only,2,14.285714285714285
8-month-olds,Man_Only,1,7.142857142857142
8-month-olds,Woman_Only,0,0.0
8-month-olds,Other,0,0.0
9-month-olds,Man_Toy,12,60.0
9-month-olds,Woman_Toy,1,5.0
9-month-olds,Woman_Man,2,10.0
9-month-olds,Toy_Only,1,5.0
9-month-olds,Man_Only,3,15.0
9-month-olds,Woman_Only,0,0.0
9-month-olds,Other,1,5.0
10-month-olds,Man_Toy,9,56.25
10-month-olds,Woman_Toy,0,0.0
10-month-olds,Woman_Man,5,31.25
10-month-olds,Toy_Only,1,6.25
10-month-olds,Man_Only,1,6.25
10-month-olds,Woman_Only,0,0.0
10-month-olds,Other,0,0.0
11-month-olds,Man_Toy,2,28.57142857142857
11-month-olds,Woman_Toy,2,28.57142857142857
11-month-olds,Woman_Man,2,28.57142857142857
11-month-olds,Toy_Only,0,0.0
11-month-olds,Man_Only,1,14.285714285714285
11-month-olds,Woman_Only,0,0.0
11-month-olds,Other,0,0.0
Adults,Man_Toy,3,42.857142857142854
Adults,Woman_Toy,2,28.57142857142857
Adults,Woman_Man,2,28.57142857142857
Adults,Toy_Only,0,0.0
Adults,Man_Only,0,0.0
Adults,Woman_Only,0,0.0
Adults,Other,0,0.0
