participant,participant_type,no_signal_rows,total_rows,proportion_no_signal
Eleven-0301-372,child,9262,12114,0.764570
Eleven-0401-682,child,8537,9766,0.874155
Seven-0201-1152,child,8127,11015,0.737812
Eight-0601-5801,child,7091,10840,0.654151
Eight-0201-1170,child,6834,8504,0.803622
Eight-0301-1658,child,6731,10060,0.669085
Eight-0101-947,child,6316,8350,0.756407
Ten-0102-5728,child,6277,11388,0.551194
Seven-0401-1655,child,6254,8529,0.733263
Ten-0301-1158,child,5940,11003,0.539853
Seven-0102-5982,child,5885,10198,0.577074
Seven-0301-6399,child,5883,7786,0.755587
Eight-0302-5513,child,5519,7801,0.707473
Nine-0301-1171,child,5221,8651,0.603514
Ten-0501-5669,child,5175,8422,0.614462
Eight-0401-1638,child,5098,10455,0.487614
Nine-0101-694,child,5002,8085,0.618677
Nine-0401-1013,child,4351,7612,0.571597
Nine-0301-1009,child,4317,6665,0.647712
Nine-0601-5532,child,4089,8252,0.495516
Eight-0101-1579,child,3996,5433,0.735505
Eight-0301-1158,child,3994,6082,0.656692
Ten-0501-5753,child,3966,9223,0.430012
Eleven-0501-837,child,3960,8270,0.478839
Eleven-0101-342,child,3944,8084,0.487877
Nine-0101-598,child,3848,5642,0.682028
Nine-0201-464,child,3783,6250,0.605280
Seven-0601-6417,child,3679,7776,0.473122
Ten-0601-5737,child,3374,7739,0.435974
Seven-0202-6362,child,3174,5814,0.545924
Eleven-0202-5721,child,3172,7249,0.437578
Eleven-0301-418,child,3043,6264,0.485792
Nine-0201-1035,child,2982,5498,0.542379
Ten-0401-800,child,2934,8546,0.343319
Eleven-0301-5909,child,2932,7764,0.377640
Nine-0401-1096,child,2882,8170,0.352754
Seven-0101-1373,child,2811,5867,0.479121
Eight-0201-1464,child,2763,7155,0.386164
Ten-0602-5894,child,2626,7054,0.372271
Twelve-0101-1647,child,2442,8377,0.291512
Seven-0301-1342,child,2411,3737,0.645170
Ten-0301-242,child,2378,6785,0.350479
Nine-0101-707,child,2331,5482,0.425210
Ten-0101-246,child,1868,4586,0.407327
Ten-0601-825,child,1596,6418,0.248676
Eight-0501-6206,child,1526,6253,0.244043
Twelve-0101-1654,child,1431,6986,0.204838
FortySix-0101-1666,adult,1219,5487,0.222161
Nine-0502-5656,child,1110,6263,0.177231
FourtySix-0401-1672,adult,1040,5659,0.183778
FiftySix-0501-1673,adult,915,5655,0.161804
ThirtyFive-0301-1675,adult,863,6478,0.133220
Eleven-0101-141,child,779,5959,0.130727
ThirtyNine-0101-1660,adult,768,6119,0.125511
Eleven-0201-209,child,699,5700,0.122632
TwentyTwo-0201-1665,adult,625,5626,0.111091
FortyOne-0101-1677,adult,407,5196,0.078329
TwentySeven-0101-1670,adult,339,5497,0.061670
TwentyFive-0101-1667,adult,328,5549,0.059110
TwentyFive-0201-1669,adult,316,5928,0.053306
ThirtyOne-0201-1676,adult,290,5471,0.053007
TwentyFour-0101-1663,adult,275,5487,0.050118
TwentyTwo-0101-1661,adult,260,6865,0.037873
TwentyEight-0101-1664,adult,229,5672,0.040374
Ten-0501-455,child,155,6002,0.025825
TwentyThree-0601-1671,adult,111,5825,0.019056
